(15,),(20,),14
(20,),(2,),14
(20,),(15,),14
(7,),(39,),14
(8,),(33,),14
(33,),(8,),14
(39,),(7,),14
(8,),(21,),14
(21,),(8,),14
(27,),(39,),14
(39,),(27,),14
(10,),(16,),14
(16,),(10,),14
(39,),(41,),14
(41,),(39,),14
(20,),(40,),14
(40,),(20,),14
(19,),(28,),14
(28,),(19,),14
(2,),(27,),14
(27,),(2,),14
(15,),(25,),14
(25,),(15,),14
(12,),(27,),14
(24,),(30,),14
(27,),(12,),14
(30,),(24,),14
(3,),(42,),14
(42,),(3,),14
(17,),(34,),14
(34,),(17,),14
(27,),(34,),14
(34,),(27,),14
(4,),(23,),14
(12,),(34,),14
(23,),(4,),14
(34,),(12,),14
(26,),(29,),14
(29,),(26,),14
(11,),(14,),14
(14,),(11,),14
(22,),(34,),14
(34,),(22,),14
(13,),(14,),14
(14,),(13,),14
(11,),(32,),14
(32,),(11,),14
(30,),(34,),14
(34,),(30,),14
(19,),(45,),14
(45,),(19,),14
(12,),(20,),14
(20,),(12,),14
(13,),(28,),14
(28,),(13,),14
(18,),(39,),14
(39,),(18,),14
(1,),(12,),14
(11,),(18,),14
(12,),(1,),14
(18,),(11,),14
(8,),(30,),14
(30,),(8,),14
(13,),(41,),14
(41,),(13,),14
(23,),(29,),13
(29,),(23,),13
(13,),(32,),13
(32,),(13,),13
(11,),(31,),13
(19,),(21,),13
(21,),(19,),13
(21,),(31,),13
(31,),(11,),13
(31,),(21,),13
(14,),(27,),13
(27,),(14,),13
(27,),(30,),13
(30,),(27,),13
(2,),(16,),13
(16,),(2,),13
(16,),(25,),13
(16,),(26,),13
(25,),(16,),13
(26,),(16,),13
(8,),(37,),13
(8,),(19,),13
(19,),(8,),13
(37,),(8,),13
(16,),(36,),13
(36,),(16,),13
(7,),(41,),13
(36,),(37,),13
(37,),(36,),13
(41,),(7,),13
(2,),(45,),13
(39,),(45,),13
(45,),(2,),13
(45,),(39,),13
(22,),(25,),13
(25,),(22,),13
(12,),(33,),13
(33,),(12,),13
(3,),(4,),13
(4,),(3,),13
(31,),(37,),13
(37,),(31,),13
(7,),(38,),13
(7,),(24,),13
(24,),(7,),13
(38,),(7,),13
(4,),(9,),13
(9,),(4,),13
(3,),(12,),13
(12,),(3,),13
(6,),(39,),13
(39,),(6,),13
(10,),(14,),13
(14,),(10,),13
(14,),(18,),13
(14,),(20,),13
(18,),(14,),13
(20,),(14,),13
(4,),(8,),13
(5,),(39,),13
(5,),(17,),13
(8,),(4,),13
(17,),(5,),13
(39,),(5,),13
(17,),(33,),13
(33,),(17,),13
(7,),(8,),13
(8,),(7,),13
(2,),(44,),13
(26,),(44,),13
(44,),(2,),13
(44,),(26,),13
(1,),(26,),13
(26,),(1,),13
(26,),(37,),13
(28,),(43,),13
(37,),(26,),13
(43,),(28,),13
(13,),(34,),13
(34,),(13,),13
(4,),(41,),13
(41,),(4,),13
(26,),(35,),13
(35,),(26,),13
(2,),(3,),13
(3,),(2,),13
(13,),(43,),13
(43,),(13,),13
(19,),(26,),13
(26,),(19,),13
(23,),(43,),13
(43,),(23,),13
(39,),(44,),13
(44,),(39,),13
(1,),(35,),13
(10,),(27,),13
(20,),(27,),13
(27,),(10,),13
(27,),(20,),13
(35,),(1,),13
(15,),(23,),13
(23,),(15,),13
(6,),(10,),13
(10,),(6,),13
(7,),(16,),13
(16,),(7,),13
(10,),(15,),13
(10,),(22,),13
(15,),(10,),13
(15,),(44,),13
(22,),(10,),13
(44,),(15,),13
(8,),(14,),13
(14,),(33,),13
(14,),(8,),13
(33,),(14,),13
(21,),(36,),13
(36,),(21,),13
(17,),(40,),13
(40,),(17,),13
(14,),(37,),13
(37,),(14,),13
(25,),(29,),13
(29,),(25,),13
(10,),(24,),13
(24,),(10,),13
(15,),(19,),13
(19,),(15,),13
(25,),(43,),13
(43,),(25,),13
(3,),(7,),13
(7,),(3,),13
(5,),(19,),13
(19,),(5,),13
(5,),(9,),13
(9,),(5,),13
(4,),(11,),13
(11,),(4,),13
(5,),(44,),13
(24,),(32,),13
(32,),(24,),13
(44,),(5,),13
(34,),(42,),13
(42,),(34,),13
(22,),(36,),13
(36,),(22,),13
(32,),(45,),13
(34,),(41,),13
(41,),(34,),13
(45,),(32,),13
(1,),(11,),13
(11,),(1,),13
(33,),(34,),13
(34,),(33,),13
(10,),(41,),13
(41,),(10,),13
(34,),(36,),13
(36,),(34,),13
(10,),(32,),13
(32,),(10,),13
(12,),(38,),13
(28,),(34,),13
(34,),(28,),13
(38,),(12,),13
(1,),(16,),13
(11,),(36,),13
(16,),(1,),13
(36,),(11,),13
(14,),(22,),13
(22,),(14,),13
(27,),(44,),13
(44,),(27,),13
(2,),(19,),13
(19,),(2,),13
(11,),(24,),13
(24,),(11,),13
